"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
GS25대전대학사점,대전광역시,동구,30110,대전광역시 동구 대학로 62-60,대전광역시 동구 용운동 603,36.33759832,127.4578732,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 뉴대전대정문점,대전광역시,동구,30110,대전광역시 동구 용운로 147번길 93,대전광역시 동구 용운동 174-20,36.33093978,127.4614613,042-251-4514,동부서상황실,2017,Y,2023-07-21
"세븐일레븐 대전대원룸점",대전광역시,동구,30110,대전광역시 동구 새울로123번길 28-24,대전광역시 동구 용운동 182-1,36.33057978,127.4615752,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 용운센터점,대전광역시,동구,30110,대전광역시 동구 새울로 103-1번지,대전광역시 동구 용운동 305-3,36.32767447,127.4615735,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 판암점,대전광역시,동구,30110,대전광역시 동구 동부로 73번길 25,대전광역시 동구 용운동 401-10,36.32329179,127.4602776,042-251-4514,동부서상황실,2017,Y,2023-07-21
"세븐일레븐 대전대하늘점",대전광역시,동구,30110,대전광역시 동구 새울로109번길 46,대전광역시 동구 용운동 289-11,36.32862295,127.4593276,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 복합터미널1호점,대전광역시,동구,30110,대전광역시 동구 동서대로 1689 대전복합터미널,대전광역시 동구 용전동 63-34,36.35031101,127.4366949,042-251-4514,동부서상황실,2017,Y,2023-07-21
"세븐일레븐 새피앙점",대전광역시,동구,30110,대전광역시 동구 홍도로 46,대전광역시 동구 용전동 82-9,36.35015497,127.4284849,042-251-4514,동부서상황실,2017,Y,2023-07-21
"세븐일레븐 용전대로점",대전광역시,동구,30110,대전광역시 동구 계족로 507,대전광역시 동구 용전동 39-26,36.35702384,127.4325574,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 대전자양로점,대전광역시,동구,30110,대전광역시 동구 한밭대로 1290,대전광역시 동구 용전동 66-3,36.35349257,127.4386441,042-251-4514,동부서상황실,2017,Y,2023-07-21
"보보스24편의점",대전광역시,동구,30110,대전광역시 동구 동서대로 1695번길 76,대전광역시 동구 용전동 67-9,36.35258772,127.4369568,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 우송사랑점,대전광역시,동구,30110,대전광역시 동구 동대전로 131번길 8-3,대전광역시 동구 자양동 261-13,36.3342815,127.4452311,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 우송아트,대전광역시,동구,30110,대전광역시 동구 동대전로 171-29,대전광역시 동구 자양동 67-1,36.3363162,127.4467205,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 판암IC점,대전광역시,동구,30110,대전광역시 동구 옥천로 190,대전광역시 동구 판암동 351-7,36.31766382,127.4613631,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 홍도중앙점,대전광역시,동구,30110,대전광역시 동구 동산초교로 23번길 15,대전광역시 동구 홍도동 23-1,36.34634762,127.4257498,042-251-4514,동부서상황실,2017,Y,2023-07-21
"오렌지마트 한남대점",대전광역시,동구,30110,대전광역시 동구 홍도로 71-1,대전광역시 동구 홍도동 78-3,36.35247687,127.4277883,042-251-4514,동부서상황실,2017,Y,2023-07-21
"세븐일레븐  한남대학사점",대전광역시,동구,30110,대전광역시 동구 한남로 16,대전광역시 동구 홍도동 96-19,36.35125442,127.4265828,042-251-4514,동부서상황실,2017,Y,2023-07-21
