"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
GS25 대전둔산점,대전광역시,서구,36600,대전광역시 서구 문정로 114,,36.346443,127.3919357,042-472-3964,둔산경찰서,2016,Y,2023-11-09
GS25 탄방한우리점,대전광역시,서구,36600,대전광역시 서구 문정로 90번길 57,,36.34412711,127.388994,042-488-0444,둔산경찰서,2017,Y,2023-11-09
"세븐일레븐 탄방하늘점",대전광역시,서구,36600,대전광역시 서구 남선로23번길 30,,36.3463384,127.3954636,042-482-9996,둔산경찰서,2016,Y,2023-11-09
"이마트24 대전탄방문정점",대전광역시,서구,36600,대전광역시 서구 문정로122번길 22,,36.3456894,127.3927597,042-488-2321,둔산경찰서,2022,Y,2023-11-09
GS25 탄방중앙점,대전광역시,서구,36600,대전광역시 서구 도솔로 445,,36.34408829,127.3936325,042-471-1025,둔산경찰서,2022,Y,2023-11-09
GS25탄방드림점,대전광역시,서구,36600,대전광역시 서구 남선로60번길 31,,36.34859355,127.4004892,042-483-3308,둔산경찰서,2022,Y,2023-11-09
CU 둔산문정점,대전광역시,서구,36600,대전광역시 서구 문정로170번길 11,,36.3495432,127.3965296,,둔산경찰서,2016,Y,2023-11-09
GS25 갈마중문점,대전광역시,서구,36600,대전광역시 서구 계룡로320번길 40,,36.3523039,127.3645768,042-522-9535,둔산경찰서,2016,Y,2023-11-09
GS25 한밭고,대전광역시,서구,36600,대전광역시 서구 계룡로354번길 166,,36.34604392,127.3673407,042-523-3784,둔산경찰서,2022,Y,2023-11-09
"세븐일레븐 대전갈마화랑점",대전광역시,서구,36600,대전광역시 서구 신갈마로211번길 58,,36.3533478,127.3647494,,둔산경찰서,2023,Y,2023-11-09
GS25 경성스카이점,대전광역시,서구,36600,대전광역시 서구 괴정로11번길 95,,36.3417416,127.3772999793,,둔산경찰서,2016,Y,2023-11-09
GS25 대전빌리지점,대전광역시,서구,36600,대전광역시 서구 대덕대로151번길 42,,36.34848235,127.3729214,042-522-8122,둔산경찰서,2016,Y,2023-11-09
GS25대전그린점,대전광역시,서구,36600,대전광역시 서구 대덕대로135번길 31,,36.34572009,127.3729402,042-521-1323,둔산경찰서,2022,Y,2023-11-09
GS25 갈마둔원,대전광역시,서구,36600,대전광역시 서구 괴정로11번길 33,,36.34153662,127.3746207,042-523-6460,둔산경찰서,2022,Y,2023-11-09
"세븐일레븐 대전갈마원룸점",대전광역시,서구,36600,대전광역시 서구 갈마중로42번길 56,,36.34496904,127.3733177,042-536-6866,둔산경찰서,2022,Y,2023-11-09
"세븐일레븐 대전월평2호점",대전광역시,서구,36600,대전광역시 서구 월평중로14,,36.3557689,127.3641865,042-485-7115,둔산경찰서,2016,Y,2023-11-09
CU 월평사랑점,대전광역시,서구,36600,대전광역시 서구 월평북로 27 명성교회,,36.3625023,127.3713448,,둔산경찰서,2017,Y,2023-11-09
GS25월평타운점,대전광역시,서구,36600,대전광역시 서구 월평서로6번길 26. 1층,,36.35433641,127.3601901,042-471-3784,둔산경찰서,2022,Y,2023-11-09
"이마트24 월평중앙점",대전광역시,서구,36600,대전광역시 서구 계룡로231번길 9. 1층,,36.35246773,127.354891,042-489-4419,둔산경찰서,2022,Y,2023-11-09
GS25 월평사랑점,대전광역시,서구,36600,대전광역시 서구 월평로 72 비플랜빌딩,,36.3625023,127.3713448,042-485-9340,둔산경찰서,2023,Y,2023-11-09
GS25 만년중앙점,대전광역시,서구,36600,대전광역시 서구 만년남로3번길 46-3,,36.3655213,127.3739256,042-483-9616,둔산경찰서,2016,Y,2023-11-09
